Open High Low Close Volume nTrades Value
9999 9999 9999 9999 53678619 1247 536732511381
10498 10498 10498 10498 9201 16 96592098
10498 10498 10498 10498 100 1 1049800
10498 10498 10498 10498 93 1 976314
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 1003 4 10529494
10498 10498 10498 10498 1166 3 12240668
10498 10498 10498 10498 305 2 3201890
10498 10498 10498 10498 450 1 4724100
10498 10498 10498 10498 201 2 2110098
10498 10498 10498 10498 100 1 1049800
10498 10498 10498 10498 1 1 10498
10498 10498 10498 10498 100 1 1049800
10498 10498 10498 10498 1020 2 10707960
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 500 1 5249000
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 10 1 104980
10498 10498 10498 10498 10 1 104980
10498 10498 10498 10498 729 1 7653042
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 70 1 734860
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 100 1 1049800
10498 10498 10498 10498 650 2 6823700
10498 10498 10498 10498 200 1 2099600
10498 10498 10498 10498 1 1 10498
10498 10498 10498 10498 1025 2 10760450
10498 10498 10498 10498 104 1 1091792
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 50 1 524900
10498 10498 10498 10498 1149 3 12062202
10498 10498 10498 10498 368 2 3863264
10498 10498 10498 10498 1450 2 15222100
10498 10498 10498 10498 1200 2 12597600
10498 10498 10498 10498 565 2 5931370
10498 10498 10498 10498 19 1 199462
10498 10498 10498 10498 3000 3 31494000
10498 10498 10498 10498 21909 5 230000682
10498 10498 10498 10498 101 1 1060298
10498 10498 10498 10498 7000 7 73486000
10498 10498 10498 10498 7005 8 73538490
10498 10498 10498 10498 4000 4 41992000
10498 10498 10498 10498 1203 3 12629094
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 2050 5 21520900
10498 10498 10498 10498 1010 2 10602980
10498 10498 10498 10498 3000 3 31494000
10498 10498 10498 10498 283 1 2970934
10498 10498 10498 10498 1000 2 10498000
10498 10498 10498 10498 481 3 5049538
10498 10498 10498 10498 2000 2 20996000
10498 10498 10498 10498 2 1 20996
10498 10498 10498 10498 600 1 6298800
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 88 1 923824
10498 10498 10498 10498 500 2 5249000
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 500 1 5249000
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 1000 2 10498000
10498 10498 10498 10498 550 1 5773900
10498 10498 10498 10498 818 2 8587364
10498 10498 10498 10498 2 1 20996
10498 10498 10498 10498 10000 10 104980000
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 300 1 3149400
10498 10498 10498 10498 30 1 314940
10498 10498 10498 10498 365 2 3831770
10498 10498 10498 10498 4000 4 41992000
10498 10498 10498 10498 10000 10 104980000
10498 10498 10498 10498 101990 5 1070691020
10498 10498 10498 10498 100165 8 1051532170
10498 10498 10498 10498 441 1 4629618
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 1000 2 10498000
10498 10498 10498 10498 125000 20 1312250000
10498 10498 10498 10498 170000 28 1784660000
10498 10498 10498 10498 42000 12 440916000
10498 10498 10498 10498 10700 1 112328600
10498 10498 10498 10498 79 1 829342
10498 10498 10498 10498 7e+05 90 7348600000
10498 10498 10498 10498 245250 14 2574634500
10498 10498 10498 10498 500 1 5249000
10498 10498 10498 10498 107 1 1123286
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 5000 5 52490000
10498 10498 10498 10498 500 2 5249000
10498 10498 10498 10498 1230 2 12912540
10498 10498 10498 10498 500 1 5249000
10498 10498 10498 10498 960 1 10078080
10498 10498 10498 10498 1e+05 3 1049800000
10498 10498 10498 10498 3000 3 31494000
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 477 1 5007546
10498 10498 10498 10498 1 1 10498
10498 10498 10498 10498 9 9 94482
10498 10498 10498 10498 2 2 20996
10498 10498 10498 10498 1000 1 10498000
10498 10498 10498 10498 9990 10 104875020
10498 10498 10498 10498 150031 8 1575025438
10498 10498 10498 10498 9000 4 94482000
10498 10498 10498 10498 51000 9 535398000
10498 10498 10498 10498 300 1 3149400
10498 10498 10498 10498 2450 5 25720100
11022 11022 11022 11022 20822 35 229500084
11022 11022 11022 11022 1010 2 11132220
11022 11022 11022 11022 222 4 2446884
11022 11022 11022 11022 5 2 55110
11022 11022 11022 11022 2011 6 22165242
11022 11022 11022 11022 215 3 2369730
11022 11022 11022 11022 1336 5 14725392
11022 11022 11022 11022 1810 6 19949820
11022 11022 11022 11022 800 3 8817600
11022 11022 11022 11022 834 6 9192348
11022 11022 11022 11022 405 4 4463910
11022 11022 11022 11022 520 2 5731440
11022 11022 11022 11022 500 1 5511000
11022 11022 11022 11022 2300 4 25350600
11022 11022 11022 11022 2200 3 24248400
11022 11022 11022 11022 1004 3 11066088
11022 11022 11022 11022 6 3 66132
11022 11022 11022 11022 2 1 22044
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 8 4 88176
11022 11022 11022 11022 2423 5 26706306
11022 11022 11022 11022 2650 4 29208300
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 2000 2 22044000
11022 11022 11022 11022 2000 2 22044000
11022 11022 11022 11022 1036 2 11418792
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 1 1 11022
11022 11022 11022 11022 300 1 3306600
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 1000 2 11022000
11022 11022 11022 11022 1300 2 14328600
11022 11022 11022 11022 2245 3 24744390
11022 11022 11022 11022 3200 4 35270400
11022 11022 11022 11022 3000 3 33066000
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 775 2 8542050
11022 11022 11022 11022 2000 2 22044000
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 3000 3 33066000
11022 11022 11022 11022 2500 2 27555000
11022 11022 11022 11022 1500 2 16533000
11022 11022 11022 11022 521 2 5742462
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 1001 2 11033022
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 700 1 7715400
11022 11022 11022 11022 1100 2 12124200
11022 11022 11022 11022 360 2 3967920
11022 11022 11022 11022 200 1 2204400
11022 11022 11022 11022 300 1 3306600
11022 11022 11022 11022 450 1 4959900
11022 11022 11022 11022 10000 1 110220000
11022 11022 11022 11022 500 1 5511000
11022 11022 11022 11022 250 1 2755500
11022 11022 11022 11022 1e+05 2 1102200000
11022 11022 11022 11022 200 1 2204400
11022 11022 11022 11022 341 2 3758502
11022 11022 11022 11022 10510 4 115841220
11022 11022 11022 11022 2100 3 23146200
11022 11022 11022 11022 32450 4 357663900
11022 11022 11022 11022 1025 3 11297550
11022 11022 11022 11022 450 2 4959900
11022 11022 11022 11022 140 1 1543080
11022 11022 11022 11022 500 1 5511000
11022 11022 11022 11022 3 1 33066
11022 11022 11022 11022 1000 3 11022000
11022 11022 11022 11022 20 1 220440
11022 11022 11022 11022 500 1 5511000
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 3000 3 33066000
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 250 1 2755500
11022 11022 11022 11022 500 2 5511000
11022 11022 11022 11022 22 1 242484
11022 11022 11022 11022 400 1 4408800
11022 11022 11022 11022 100 1 1102200
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 165 1 1818630
11022 11022 11022 11022 18793 1 207136446
11022 11022 11022 11022 200 1 2204400
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 400 1 4408800
11022 11022 11022 11022 7 1 77154
11022 11022 11022 11022 700 1 7715400
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 2 2 22044
11022 11022 11022 11022 100 1 1102200
11022 11022 11022 11022 400 1 4408800
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 5 1 55110
11022 11022 11022 11022 740 4 8156280
11022 11022 11022 11022 1500 2 16533000
11022 11022 11022 11022 760 3 8376720
11022 11022 11022 11022 1230 2 13557060
11022 11022 11022 11022 2397 3 26419734
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 5500 9 60621000
11022 11022 11022 11022 2500 4 27555000
11022 11022 11022 11022 200 1 2204400
11022 11022 11022 11022 2400 4 26452800
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 9000 9 99198000
11022 11022 11022 11022 4450 5 49047900
11022 11022 11022 11022 5000 5 55110000
11022 11022 11022 11022 542 5 5973924
11022 11022 11022 11022 1000 1 11022000
11022 11022 11022 11022 52 1 573144
11022 11022 11022 11022 1000 1 11022000
11455 11455 11455 11455 28141 52 322355155
11455 11455 11455 11455 2173 5 24891715
11455 11455 11455 11455 7116 5 81513780
11455 11455 11455 11455 4212 6 48248460
11455 11455 11455 11455 1020 3 11684100
11455 11455 11455 11455 182 1 2084810
11455 11455 11455 11455 1600 2 18328000
11455 11455 11455 11455 1265 2 14490575
11455 11455 11455 11455 100 1 1145500
11455 11455 11455 11455 3300 4 37801500
11455 11455 11455 11455 1500 2 17182500
11455 11455 11455 11455 3700 5 42383500
11455 11455 11455 11455 600 2 6873000
11455 11455 11455 11455 600 2 6873000
11455 11455 11455 11455 3000 3 34365000
11455 11455 11455 11455 200 1 2291000
11455 11455 11455 11455 400 1 4582000
11455 11455 11455 11455 200 2 2291000
11455 11455 11455 11455 500 1 5727500
11455 11455 11455 11455 365 1 4181075
11455 11455 11455 11455 500 1 5727500
11455 11455 11455 11455 200 1 2291000
11455 11455 11455 11455 1 1 11455
11455 11455 11455 11455 1000 1 11455000
11455 11455 11455 11455 1500 2 17182500
11455 11455 11455 11455 200 1 2291000
11455 11455 11455 11455 508 3 5819140
11455 11455 11455 11455 6 1 68730
11455 11455 11455 11455 100 1 1145500
11455 11455 11455 11455 1000 1 11455000
11455 11455 11455 11455 820 2 9393100
11455 11455 11455 11455 1180 2 13516900
11455 11455 11455 11455 1009 2 11558095
11455 11455 11455 11455 171 1 1958805
11455 11455 11455 11455 1345 2 15406975
11455 11455 11455 11455 1044 2 11959020
11455 11455 11455 11455 1000 1 11455000
11455 11455 11455 11455 200 1 2291000
11455 11455 11455 11455 1250 2 14318750
11455 11455 11455 11455 250 1 2863750
11455 11455 11455 11455 1000 1 11455000
11455 11455 11455 11455 700 1 8018500
11455 11455 11455 11455 2000 2 22910000
11455 11455 11455 11455 100 1 1145500
11455 11455 11455 11455 1500 2 17182500
11455 11455 11455 11455 1350 3 15464250
11455 11455 11455 11455 1089 3 12474495
11455 11455 11455 11455 1 1 11455
11455 11455 11455 11455 100 1 1145500
11455 11455 11455 11455 28924 4 331324420
11455 11455 11455 11455 1000 1 11455000
11455 11455 11455 11455 1100 2 12600500
11455 11455 11455 11455 89 1 1019495
11455 11455 11455 11455 1 1 11455
11455 11455 11455 11455 1200 1 13746000
11455 11455 11455 11455 1000 1 11455000
11455 11455 11455 11455 200 1 2291000
11455 11455 11455 11455 800 1 9164000
11455 11455 11455 11455 999 1 11443545
11455 11455 11455 11455 500 1 5727500
11455 11455 11455 11455 1858 3 21283390
11455 11455 11455 11455 4500 5 51547500
11455 11455 11455 11455 1500 2 17182500
11455 11455 11455 11455 170 1 1947350
11455 11455 11455 11455 3000 3 34365000
11455 11455 11455 11455 150 1 1718250
11455 11455 11455 11455 530 1 6071150
11455 11455 11455 11455 610 1 6987550
11455 11455 11455 11455 36300 2 415816500
11455 11455 11455 11455 20000 1 229100000
11455 11455 11455 11455 1000 1 11455000
11455 11455 11455 11455 1000 1 11455000
11455 11455 11455 11455 1 1 11455
11455 11455 11455 11455 1300 2 14891500
11455 11455 11455 11455 1000 1 11455000
11455 11455 11455 11455 450 2 5154750
11455 11455 11455 11455 1000 1 11455000
11455 11455 11455 11455 1000 1 11455000
11455 11455 11455 11455 900165 21 10311390075
11455 11455 11455 11455 502000 12 5750410000
11455 11455 11455 11455 100440 10 1150540200
11455 11455 11455 11455 203170 14 2327312350
11455 11455 11455 11455 1300000 32 14891500000
11455 11455 11455 11455 601600 16 6891328000
11455 11455 11455 11455 2000 4 22910000
11455 11455 11455 11455 1200 2 13746000
11455 11455 11455 11455 200198 6 2293268090
11455 11455 11455 11455 2400 3 27492000
11455 11455 11455 11455 200 1 2291000
11455 11455 11455 11455 1000 1 11455000
11455 11455 11455 11455 1300 2 14891500
11455 11455 11455 11455 50 1 572750
11455 11455 11455 11455 20 1 229100
11455 11455 11455 11455 150 1 1718250
11455 11455 11455 11455 200964 6 2302042620
11455 11455 11455 11455 217 3 2485735
11455 11455 11455 11455 700 2 8018500
11455 11455 11455 11455 1003 2 11489365
11455 11455 11455 11455 500 1 5727500
11455 11455 11455 11455 250 1 2863750
11455 11455 11455 11455 1000 1 11455000
11455 11455 11455 11455 801000 19 9175455000
11455 11455 11455 11455 400500 10 4587727500
11455 11455 11455 11455 3e+05 6 3436500000
11455 11455 11455 11455 201000 7 2302455000
11455 11455 11455 11455 450 3 5154750
11455 11455 11455 11455 500 1 5727500
11455 11455 11455 11455 300 1 3436500
11455 11455 11455 11455 50 1 572750
11455 11455 11455 11455 410 1 4696550
11455 11455 11455 11455 1700 3 19473500
11455 11455 11455 11455 421 2 4822555
11455 11455 11455 11455 100 1 1145500
11455 11455 11455 11455 300 1 3436500
11455 11455 11455 11455 201671 7 2310141305
11455 11455 11455 11455 780 1 8934900
11455 11455 11455 11455 600 2 6873000
11455 11455 11455 11455 4010 5 45934550
11455 11455 11455 11455 113 2 1294415
12027 12027 12027 12027 2704009 314 32521116243
12027 12027 12027 12027 13580 24 163326660
12027 12027 12027 12027 8450 16 101628150
12027 12027 12027 12027 6510 12 78295770
12027 12027 12027 12027 5400 9 64945800
12027 12027 12027 12027 11692 17 140619684
12027 12027 12027 12027 6656 9 80051712
12027 12027 12027 12027 11544 16 138839688
12027 12027 12027 12027 3905 7 46965435
12027 12027 12027 12027 3225 7 38787075
12027 12027 12027 12027 5500 9 66148500
12027 12027 12027 12027 7441 10 89492907
12027 12027 12027 12027 5000 6 60135000
12027 12027 12027 12027 3021 6 36333567
12027 12027 12027 12027 6200 9 74567400
12027 12027 12027 12027 2700 4 32472900
12027 12027 12027 12027 688 3 8274576
12027 12027 12027 12027 1650 4 19844550
12027 12027 12027 12027 1400 4 16837800
12027 12027 12027 12027 3959 6 47614893
12027 12027 12027 12027 1465 3 17619555
12027 12027 12027 12027 1000 1 12027000
12027 12027 12027 12027 541 2 6506607
12027 12027 12027 12027 2351 8 28275477
12027 12027 12027 12027 3691 5 44391657
12027 12027 12027 12027 2605 4 31330335
12027 12027 12027 12027 2000 2 24054000
12027 12027 12027 12027 2000 2 24054000
12027 12027 12027 12027 441 1 5303907
12027 12027 12027 12027 50 1 601350
12027 12027 12027 12027 700 1 8418900
12027 12027 12027 12027 1440 3 17318880
12027 12027 12027 12027 1500 4 18040500
12027 12027 12027 12027 500890 35 6024204030
12027 12027 12027 12027 2941 5 35371407
12027 12027 12027 12027 550 2 6614850
12027 12027 12027 12027 50 1 601350
12027 12027 12027 12027 550 2 6614850
12027 12027 12027 12027 1300 2 15635100
12027 12027 12027 12027 9320 2 112091640
12027 12027 12027 12027 2010 3 24174270
12027 12027 12027 12027 1665 3 20024955
12027 12027 12027 12027 1870 2 22490490
12027 12027 12027 12027 1400 2 16837800
12027 12027 12027 12027 1000 1 12027000
12027 12027 12027 12027 50 1 601350
12027 12027 12027 12027 1000 1 12027000
12027 12027 12027 12027 1380 2 16597260
12027 12027 12027 12027 1320 2 15875640
12027 12027 12027 12027 130 1 1563510
12027 12027 12027 12027 120 2 1443240
12027 12027 12027 12027 500 1 6013500
12027 12027 12027 12027 1000 1 12027000
12027 12027 12027 12027 1000 1 12027000
12027 12027 12027 12027 200 1 2405400
12027 12027 12027 12027 1600 3 19243200
12027 12027 12027 12027 150 1 1804050
12027 12027 12027 12027 490 1 5893230
12027 12027 12027 12027 1000 2 12027000
12027 12027 12027 12027 5e+05 25 6013500000
12027 12027 12027 12027 100 1 1202700
12027 12027 12027 12027 1000 1 12027000
12027 12027 12027 12027 2000 2 24054000
12027 12027 12027 12027 1500 3 18040500
12027 12027 12027 12027 102 1 1226754
12027 12027 12027 12027 100 1 1202700
12027 12027 12027 12027 400201 13 4813217427
12027 12027 12027 12027 1101320 37 13245575640
12027 12027 12027 12027 501000 13 6025527000
12027 12027 12027 12027 602286 38 7243693722
12027 12027 12027 12027 402599 17 4842058173
12027 12027 12027 12027 7100 11 85391700
12027 12027 12027 12027 3300 5 39689100
12027 12027 12027 12027 5500 5 66148500
12027 12027 12027 12027 4250 6 51114750
12027 12027 12027 12027 2110 6 25376970
12027 12027 12027 12027 1100 3 13229700
12027 12027 12027 12027 2541 5 30560607
12027 12027 12027 12027 1420 4 17078340
12027 12027 12027 12027 1100 2 13229700
12027 12027 12027 12027 502900 20 6048378300
12027 12027 12027 12027 2006500 73 24132175500
12027 12027 12027 12027 1007800 59 12120810600
12027 12027 12027 12027 4200 7 50513400
12027 12027 12027 12027 798 3 9597546
12027 12027 12027 12027 6805 11 81843735
12027 12027 12027 12027 4120 8 49551240
12027 12027 12027 12027 8065 12 96997755
12027 12027 12027 12027 3408 4 40988016
12027 12027 12027 12027 6430 12 77333610
12027 12027 12027 12027 314518 61 3782707986
12027 12027 12027 12027 1735006 130 20866917162
12027 12027 12027 12027 32829 47 394834383
12027 12027 12027 12027 70381 101 846472287
12027 12027 12027 12027 64929 84 780901083
12027 12027 12027 12027 41029 60 493455783
12027 12027 12027 12027 51713 76 621952251
12027 12027 12027 12027 58756 80 706658412
12027 12027 12027 12027 71876 80 864452652
12027 12027 12027 12027 40720 47 489739440
12027 12027 12027 12027 26018 31 312918486
12027 12027 12027 12027 35401 39 425767827
12027 12027 12027 12027 81728 42 982942656
12027 12027 12027 12027 31678 45 380991306
12027 12027 12027 12027 14352 20 172611504
12027 12027 12027 12027 20851 24 250774977
12027 12027 12027 12027 31120 33 374280240
12027 12027 12027 12027 31872 30 383324544
12027 12027 12027 12027 41844 48 503257788
12027 12027 12027 12027 28821 32 346630167
12027 12027 12027 12027 20753 27 249596331
12027 12027 12027 12027 15863 23 190784301
12027 12027 12027 12027 16544 22 198974688
12027 12027 12027 12027 7400 12 88999800
12027 12027 12027 12027 14295 24 171925965
12027 12027 12027 12027 9623 16 115735821
12027 12027 12027 12027 9506 13 114328662
12027 12027 12027 12027 9600 10 115459200
12027 12027 12027 12027 4591 11 55215957
12027 12027 12027 12027 6456 12 77646312
12027 12027 12027 12027 2220 7 26699940
12027 12027 12027 12027 400 1 4810800
12027 12027 12027 12027 2400 3 28864800
12027 12027 12027 12027 2790 5 33555330
12027 12027 12027 12027 2200 4 26459400
12027 12027 12027 12027 1000 1 12027000
12027 12027 12027 12027 932 3 11209164
12027 12027 12027 12027 3190 6 38366130
12027 12027 12027 12027 100 1 1202700
12027 12027 12027 12027 2200 3 26459400
12027 12027 12027 12027 2500 3 30067500
12027 12027 12027 12027 2101 5 25268727
12027 12027 12027 12027 594 1 7144038
12027 12027 12027 12027 1205 3 14492535
12027 12027 12027 12027 510 3 6133770
12027 12027 12027 12027 400 2 4810800
12027 12027 12027 12027 1000 1 12027000
12027 12027 12027 12027 750 3 9020250
12027 12027 12027 12027 1250 3 15033750
12027 12027 12027 12027 2000 2 24054000
12027 12027 12027 12027 3730 5 44860710
12027 12027 12027 12027 401 3 4822827
12027 12027 12027 12027 4200 6 50513400
12027 12027 12027 12027 2800 5 33675600
12027 12027 12027 12027 2500 2 30067500
12027 12027 12027 12027 2700 3 32472900
12027 12027 12027 12027 3000 3 36081000
12027 12027 12027 12027 600 2 7216200
12027 12027 12027 12027 200 2 2405400
12027 12027 12027 12027 4050 4 48709350
12027 12027 12027 12027 132 2 1587564
12027 12027 12027 12027 1750 3 21047250
12027 12027 12027 12027 1300 3 15635100
12027 12027 12027 12027 5314 8 63911478
12027 12027 12027 12027 1779 5 21396033
12027 12027 12027 12027 2300 4 27662100
12027 12027 12027 12027 3712 6 44644224
12027 12027 12027 12027 4700 6 56526900
12027 12027 12027 12027 1336 5 16068072
12027 12027 12027 12027 1115 3 13410105
12027 12027 12027 12027 3207 7 38570589
12027 12027 12027 12027 3877 6 46628679
12027 12027 12027 12027 3560 10 42816120
12027 12027 12027 12027 1300 5 15635100
12628 12628 12628 12628 982493 982 12406921604
12628 12628 12628 12628 23030 34 290822840
12628 12628 12628 12628 33558 56 423770424
12628 12628 12628 12628 26961 37 340463508
12628 12628 12628 12628 21600 31 272764800
12628 12628 12628 12628 14672 18 185278016
12628 12628 12628 12628 13120 20 165679360
12628 12628 12628 12628 14430 23 182222040
12628 12628 12628 12628 8000 12 101024000
12628 12628 12628 12628 4141 7 52292548
12628 12628 12628 12628 1800 5 22730400
12628 12628 12628 12628 1000 2 12628000
12628 12628 12628 12628 2850 5 35989800
12628 12628 12628 12628 2200 3 27781600
12628 12628 12628 12628 7950 11 100392600
12628 12628 12628 12628 4800 9 60614400
12628 12628 12628 12628 2715 8 34285020
12628 12628 12628 12628 3608 5 45561824
12628 12628 12628 12628 6340 8 80061520
12628 12628 12628 12628 5939 12 74997692
12628 12628 12628 12628 6600 5 83344800
12628 12628 12628 12628 3020 8 38136560
12628 12628 12628 12628 7435 20 93889180
12628 12628 12628 12628 4172 15 52684016
12628 12628 12628 12628 8642 18 109131176
12628 12628 12628 12628 6610 8 83471080
12628 12628 12628 12628 4100 8 51774800
12628 12628 12628 12628 4050 5 51143400
12628 12628 12628 12628 6201 7 78306228
12628 12628 12628 12628 6100 5 77030800
12628 12628 12628 12628 3900 5 49249200
12628 12628 12628 12628 10435 11 131773180
12628 12628 12628 12628 3678 6 46445784
12628 12628 12628 12628 7882 8 99533896
12628 12628 12628 12628 5687 6 71815436
12628 12628 12628 12628 3637 5 45928036
12628 12628 12628 12628 3100 5 39146800
12628 12628 12628 12628 2000 2 25256000
12628 12628 12628 12628 6250 6 78925000
12628 12628 12628 12628 12030 8 151914840
12628 12628 12628 12628 6250 7 78925000
12628 12628 12628 12628 5000 5 63140000
12628 12628 12628 12628 4100 5 51774800
